no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,required_car_parking_space,lead_time,arrival_year,arrival_month,arrival_date,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,Booking_ID_encoded,type_of_meal_plan_encoded,room_type_reserved_encoded,market_segment_type_encoded,booking_status_encoded
2,0,0,3,0,86,2018,4,6,0,0,0,99.3,1,59,0,3,4,1
2,2,0,1,1,2,2018,9,2,0,0,0,258.0,1,60,0,5,4,1
1,0,0,3,0,19,2018,5,3,0,0,0,120.12,2,61,0,3,4,1
1,0,0,2,0,192,2018,6,24,0,0,0,95.0,0,62,0,0,3,1
1,0,0,1,0,2,2017,9,10,0,0,0,0.0,1,63,0,0,1,1
2,0,2,1,0,86,2018,12,18,0,0,0,75.0,0,64,0,0,3,1
2,0,0,3,0,30,2018,10,5,0,0,0,157.5,2,65,0,3,4,1
2,0,0,2,0,179,2018,6,3,0,0,0,97.7,1,66,0,3,4,1
2,0,0,2,0,26,2018,4,15,0,0,0,142.0,0,67,0,3,4,0
2,0,0,1,0,55,2018,4,6,0,0,0,80.0,0,68,0,0,3,1
2,0,1,2,0,74,2018,4,25,0,0,0,85.5,1,69,0,0,4,1
2,0,0,3,0,143,2018,8,25,0,0,0,100.0,0,70,0,0,3,1
2,0,1,0,0,34,2018,11,14,0,0,0,88.0,2,71,3,0,4,1
2,0,1,1,1,30,2018,8,29,0,0,0,122.85,1,72,0,0,4,1
2,0,0,2,0,177,2018,6,3,0,0,0,100.0,0,73,0,0,4,0
2,0,2,3,0,34,2017,10,25,0,0,0,75.0,0,74,0,3,3,1
2,0,1,4,0,18,2018,3,9,0,0,0,116.8,1,75,0,3,4,1
3,0,1,1,0,267,2018,12,31,0,0,0,121.5,0,76,0,3,4,1
2,0,1,2,0,64,2018,6,27,0,0,0,111.9,1,77,0,0,4,1
3,0,2,5,0,155,2018,6,28,0,0,0,121.55,2,78,0,3,4,0
2,0,0,5,0,46,2018,3,29,0,0,0,75.0,1,79,0,0,3,1
2,2,0,2,0,83,2018,4,1,0,0,0,159.3,0,80,0,5,4,0
2,0,0,5,0,128,2018,10,11,0,0,0,132.3,0,81,0,3,4,0
2,0,2,0,0,20,2018,12,25,0,0,0,88.0,2,82,3,0,4,1
2,0,1,4,0,40,2018,3,14,0,0,0,98.82,0,83,0,3,4,1
2,0,1,2,1,46,2018,3,4,0,0,0,98.3,1,84,0,3,4,1
1,0,1,0,0,1,2018,10,17,0,0,0,150.0,2,85,0,0,4,1
2,0,2,3,0,196,2018,9,4,0,0,0,96.05,1,86,3,0,4,1
1,0,0,2,0,188,2018,6,15,0,0,0,130.0,0,87,0,0,4,0
2,0,0,1,0,17,2018,12,10,1,0,5,95.0,0,88,3,0,4,1
2,0,0,3,0,146,2018,8,9,0,0,0,113.56,0,89,0,4,3,1
2,0,1,3,0,110,2018,5,5,0,0,0,101.58,1,90,3,0,4,1
2,0,1,2,1,68,2018,3,18,0,0,0,105.3,0,91,0,0,4,1
2,0,2,1,0,73,2018,4,9,0,0,0,115.8,1,92,0,3,4,1
2,0,0,1,0,92,2018,5,19,0,0,0,149.4,1,93,0,3,4,1
2,0,2,5,0,171,2018,8,30,0,0,0,111.59,0,94,0,0,4,0
2,1,0,2,1,134,2018,8,4,0,0,0,130.5,2,95,0,0,4,1
2,0,0,2,0,320,2018,8,18,0,0,0,115.0,1,96,1,0,4,0
2,0,0,4,0,118,2018,4,13,0,0,0,90.95,1,97,0,0,4,1
2,0,0,3,0,30,2018,11,17,0,0,0,76.08,1,98,0,0,4,1
2,2,1,3,0,30,2018,12,22,0,0,0,156.9,0,99,0,5,4,1
2,0,1,0,0,189,2018,10,23,0,0,0,85.5,2,100,3,0,4,1
3,0,1,2,0,55,2018,5,13,0,0,0,159.3,2,101,0,3,4,1
1,0,0,4,0,55,2018,12,13,0,0,0,74.8,2,102,0,0,4,1
2,0,0,1,0,16,2017,10,31,0,0,0,95.0,1,103,0,0,4,1
2,0,0,3,0,24,2017,10,8,0,0,0,107.0,1,104,0,0,4,1
2,0,0,3,0,8,2018,2,16,0,0,0,64.0,0,105,0,0,3,1
2,0,1,4,1,10,2017,11,2,0,0,0,82.95,0,106,0,0,4,1
2,0,1,3,0,0,2017,9,21,0,0,0,155.0,1,107,0,3,4,1
2,0,0,1,0,12,2018,6,30,0,0,0,101.68,1,108,3,0,4,1
2,0,2,1,0,32,2017,9,5,0,0,0,94.5,3,109,0,0,4,1
2,0,0,2,0,182,2018,9,30,0,0,0,117.9,2,110,0,0,4,0
2,0,1,0,0,1,2018,6,27,0,0,0,127.0,1,111,3,0,4,1
2,0,0,3,0,122,2018,6,16,0,0,0,116.1,2,112,3,0,4,1
2,0,2,3,0,40,2018,6,30,0,0,0,117.9,1,113,0,0,4,1
2,2,2,2,0,116,2018,6,26,0,0,0,184.24,1,114,0,1,4,0
3,0,2,2,1,123,2018,8,13,0,0,0,155.7,1,115,0,3,4,1
3,0,2,5,0,40,2018,4,22,0,0,0,135.76,0,116,0,3,4,0
2,1,2,5,0,105,2018,11,12,0,0,0,102.83,3,117,0,0,4,1
2,0,0,1,0,443,2018,4,29,0,0,0,65.0,0,118,0,0,4,0
2,0,2,3,0,2,2017,11,14,0,0,0,103.0,1,119,0,0,4,1
2,0,0,3,0,317,2018,9,1,0,0,0,106.2,1,120,0,0,4,0
2,0,0,2,0,286,2018,9,16,0,0,0,58.5,0,121,1,0,3,1
2,0,1,3,0,68,2018,3,10,0,0,0,73.95,0,122,0,0,4,0
2,0,0,3,0,148,2018,5,5,0,0,0,105.3,0,123,0,0,4,1
3,0,2,0,0,68,2018,4,24,0,0,0,133.2,2,124,0,3,4,1
2,0,0,2,0,30,2018,3,30,0,0,0,85.5,0,125,0,0,3,1
1,0,0,1,0,14,2018,11,3,0,0,0,112.0,1,126,0,0,4,0
2,2,0,2,0,110,2018,10,14,0,0,0,190.8,0,127,0,5,4,0
1,0,2,3,0,117,2018,6,5,0,0,0,110.0,0,128,0,0,3,1
2,0,1,4,0,85,2018,7,13,0,0,0,91.48,1,129,0,3,4,1
2,0,0,2,0,1,2018,10,20,0,0,0,135.0,2,130,3,0,4,1
1,0,1,2,0,25,2018,10,17,0,0,0,129.0,2,131,0,0,4,1
2,0,2,4,0,289,2018,12,28,0,0,0,70.55,2,132,3,0,4,0
2,0,1,4,0,28,2017,10,19,0,0,0,75.0,0,133,0,3,3,1
1,0,0,4,0,80,2018,3,29,0,0,0,72.25,0,134,3,0,4,1
2,0,0,1,0,11,2017,10,9,0,0,0,155.0,2,135,0,3,4,1
2,1,1,0,0,162,2018,7,25,0,0,0,121.5,2,136,0,0,4,0
2,0,2,5,0,155,2018,6,28,0,0,0,90.95,2,137,0,0,4,1
1,0,2,2,0,82,2018,5,22,0,0,0,109.65,0,138,0,0,4,1
3,0,2,4,0,27,2018,4,15,0,0,0,142.72,0,139,0,3,4,0
1,0,1,2,0,13,2018,5,9,0,0,0,90.0,0,140,0,0,3,1
2,0,0,2,0,245,2018,6,17,0,0,0,75.0,0,141,0,0,4,0
2,0,0,2,0,11,2018,11,18,0,0,0,111.0,1,142,0,0,4,0
2,0,2,2,0,266,2018,10,30,0,0,0,86.7,2,143,0,0,4,1
2,0,1,0,0,39,2018,3,28,0,0,0,117.9,1,144,0,0,4,1
1,0,0,2,0,13,2018,6,1,1,3,5,0.0,1,145,0,0,1,1
2,0,0,4,0,112,2018,5,4,0,0,0,101.58,1,146,3,0,4,1
2,0,1,2,0,88,2018,4,8,0,0,0,58.9,1,147,3,0,4,1
2,0,0,1,0,56,2018,6,8,0,0,0,120.0,0,148,0,0,3,1
2,0,2,3,0,73,2018,4,7,0,0,0,107.1,0,149,0,3,4,0
2,0,1,1,0,80,2018,5,2,0,0,0,126.9,1,150,0,0,4,1
2,0,0,3,0,130,2018,9,29,0,0,0,139.5,2,151,0,3,4,0
2,0,1,3,0,69,2018,4,4,0,0,0,80.75,1,152,3,0,4,1
2,0,0,2,0,273,2017,7,17,0,0,0,109.0,0,153,1,0,4,0
2,0,0,1,0,55,2018,4,6,0,0,0,104.0,0,154,1,0,3,1
1,0,0,3,0,4,2018,11,1,1,1,5,65.0,1,155,0,0,2,1
2,0,0,3,0,97,2018,5,24,0,0,0,140.4,0,156,0,3,4,1
2,0,0,3,0,44,2018,2,17,0,0,0,75.0,0,157,0,0,3,1
2,0,0,1,0,31,2018,4,14,0,0,0,94.5,0,158,3,0,4,0
2,0,1,0,0,0,2018,6,5,0,0,0,109.0,0,159,3,0,4,1
2,0,2,2,0,62,2018,11,12,0,0,0,105.0,2,160,0,0,4,1
2,0,2,2,0,86,2018,4,17,0,0,0,107.95,1,161,0,3,4,1
3,0,2,2,0,3,2018,10,7,0,0,0,215.6,1,162,0,6,4,1
2,0,1,1,0,197,2018,8,1,0,0,0,85.5,1,163,3,0,4,1
2,0,0,2,0,143,2018,7,12,0,0,0,105.3,2,164,0,0,4,1
1,0,2,1,0,23,2018,1,2,0,0,0,1.0,0,165,1,0,4,1
2,0,0,2,0,8,2018,6,15,0,0,0,156.0,0,166,0,3,4,0
1,0,0,2,0,13,2018,11,16,0,0,0,73.15,1,167,0,0,4,1
2,0,1,2,0,280,2018,9,19,0,0,0,110.0,0,168,0,0,4,0
2,1,1,0,0,11,2017,9,13,0,0,0,87.4,1,169,3,0,4,1
2,0,0,2,0,317,2018,9,15,0,0,0,120.0,0,170,0,0,4,0
2,0,1,2,0,185,2018,12,16,0,0,0,79.2,0,171,3,0,4,0
2,0,1,3,0,160,2018,6,30,0,0,0,90.95,1,172,0,0,4,1
2,0,0,4,0,104,2018,10,18,0,0,0,91.48,1,173,0,0,4,1
2,1,0,1,0,11,2018,11,5,0,0,0,150.0,1,174,0,0,4,0
2,0,0,1,0,2,2018,3,22,0,0,0,89.0,0,175,3,0,4,1
2,0,1,4,0,14,2018,8,17,0,0,0,91.43,1,176,3,0,4,1
2,0,0,2,0,22,2018,5,20,0,0,0,140.0,0,177,0,0,3,1
1,1,2,5,0,37,2017,10,24,0,0,0,87.78,0,178,3,0,4,1
2,0,0,2,0,292,2018,7,21,0,0,0,115.0,0,179,1,0,4,0
2,0,0,3,0,11,2017,9,9,0,0,0,80.85,1,180,0,0,4,1
2,0,1,3,0,86,2018,3,31,0,0,0,82.45,1,181,0,0,4,1
2,0,0,1,0,109,2018,10,11,0,0,0,108.0,0,182,3,0,4,0
2,0,1,1,0,72,2018,4,2,0,0,0,96.3,1,183,0,3,4,1
2,0,1,5,0,196,2018,8,22,0,0,0,99.45,0,184,0,0,4,0
2,0,0,2,0,56,2018,5,13,0,0,0,140.4,1,185,0,3,4,1
2,0,1,3,0,189,2018,8,8,0,0,0,72.25,0,186,0,0,3,1
2,0,1,4,0,126,2018,8,15,0,0,0,126.0,0,187,0,3,4,1
2,0,2,3,0,303,2018,8,19,0,0,0,78.0,0,188,0,0,4,0
1,0,2,2,0,81,2018,11,6,0,0,0,146.6,1,189,0,3,4,1
2,0,1,2,0,54,2018,10,10,0,0,0,118.8,0,190,0,0,4,0
1,0,0,1,0,15,2018,10,6,0,0,0,145.0,0,191,0,0,4,0
2,0,0,4,0,86,2018,4,6,0,0,0,84.58,0,192,0,0,4,0
2,0,1,2,0,161,2018,3,25,0,0,0,130.0,0,193,1,0,4,0
2,0,4,10,0,147,2018,8,3,0,0,0,118.88,1,194,0,3,4,0
2,0,1,2,0,92,2018,5,30,0,0,0,101.52,0,195,0,0,3,1
2,0,0,1,0,87,2017,9,11,0,0,0,100.0,0,196,0,0,2,0
2,0,2,1,0,109,2018,3,20,0,0,0,58.0,0,197,0,0,3,1
2,0,0,4,0,127,2018,3,23,0,0,0,61.5,2,198,0,0,3,1
2,0,1,2,0,418,2018,9,26,0,0,0,107.0,0,199,1,0,4,0
2,0,1,4,0,156,2018,8,24,0,0,0,87.3,1,200,3,0,4,1
2,0,0,2,0,80,2017,7,16,0,0,0,76.5,1,201,0,0,4,0
2,0,2,2,0,211,2018,12,16,0,0,0,63.75,0,202,3,0,4,0
2,0,1,2,0,273,2018,5,13,0,0,0,95.0,0,203,0,0,4,0
2,0,2,1,0,58,2018,11,19,0,0,0,75.0,1,204,0,0,3,1
2,0,0,3,0,433,2018,9,8,0,0,0,70.0,0,205,0,0,4,0
2,0,1,3,0,111,2018,5,2,0,0,0,101.58,1,206,0,0,4,1
2,0,2,3,0,34,2018,8,21,0,0,0,85.0,0,207,0,0,3,1
2,0,2,4,0,17,2018,12,3,0,0,0,98.39,0,208,0,0,4,1
1,0,0,0,0,4,2018,2,27,0,0,0,0.0,1,209,0,0,1,1
2,0,0,3,0,6,2017,9,22,0,0,0,106.07,1,210,0,0,4,1
2,0,1,1,0,32,2018,7,18,0,0,0,105.0,1,211,0,0,3,1
2,0,0,1,0,4,2017,9,22,0,0,0,145.0,2,212,0,0,4,1
3,0,2,1,0,195,2018,8,13,0,0,0,106.03,1,213,0,0,4,0
2,0,2,2,0,119,2018,8,13,0,0,0,114.3,1,214,0,0,4,1
1,0,1,1,0,13,2018,12,5,0,0,0,88.0,0,215,3,0,4,1
2,0,0,2,0,59,2017,10,15,0,0,0,89.25,2,216,0,0,4,1
2,1,2,5,0,78,2018,3,20,0,0,0,86.32,1,217,0,3,4,1
2,0,0,3,0,335,2018,10,13,0,0,0,90.0,1,218,0,0,3,1
2,0,2,5,0,103,2017,8,22,0,0,0,55.96,0,219,0,0,4,1
1,0,0,2,0,0,2018,6,8,0,0,0,109.0,1,220,3,0,4,1
2,0,0,1,0,118,2018,3,1,0,0,0,86.0,0,221,0,0,3,1
2,0,1,5,0,56,2018,9,5,0,0,0,118.95,0,222,0,0,4,1
2,0,0,2,0,107,2018,6,10,0,0,0,130.0,1,223,0,0,3,1
2,0,1,3,0,70,2018,4,14,0,0,0,90.56,1,224,3,0,4,1
2,0,0,2,0,76,2018,4,1,0,0,0,87.3,1,225,0,0,4,1
2,2,2,2,0,144,2018,5,27,0,0,0,177.65,1,226,0,5,4,0
1,2,2,2,0,4,2017,9,19,0,0,0,200.75,2,227,0,5,4,1
2,1,0,2,0,15,2018,3,18,0,0,0,127.0,1,228,0,0,4,1
1,0,1,2,0,32,2018,2,5,0,0,0,72.9,0,229,0,0,4,0
3,0,1,1,0,49,2018,5,7,0,0,0,159.3,0,230,0,3,4,0
2,1,1,3,0,77,2018,5,12,0,0,0,135.15,1,231,0,0,4,1
1,0,0,2,0,22,2018,10,28,0,0,0,90.0,0,232,0,0,3,1
2,0,1,0,0,0,2017,10,18,0,0,0,114.0,0,233,3,0,4,1
2,1,0,1,1,58,2018,6,21,0,0,0,125.1,1,234,0,0,4,1
2,0,2,6,0,4,2017,8,14,0,0,0,95.13,1,235,3,0,4,1
2,0,0,2,0,117,2018,4,29,0,0,0,105.84,0,236,0,4,4,0
2,0,1,3,0,36,2018,12,26,0,0,0,102.0,0,237,0,0,4,0
2,0,2,2,0,35,2018,12,2,0,0,0,74.8,2,238,3,0,4,1
2,0,1,0,0,31,2018,4,24,0,0,0,94.5,0,239,3,0,4,0
2,0,2,4,0,79,2018,6,16,0,0,0,120.6,0,240,3,0,4,1
2,0,1,2,0,1,2017,10,9,0,0,0,139.33,0,241,0,0,4,1
2,0,0,2,0,21,2017,9,3,0,0,0,105.0,0,242,0,0,4,1
2,0,0,2,0,12,2018,9,14,0,0,0,100.0,1,243,3,0,2,1
2,0,1,0,0,33,2018,2,8,0,0,0,80.3,1,244,0,0,4,1
1,0,0,2,0,164,2017,10,2,0,0,0,100.0,0,245,0,0,3,1
2,0,0,3,1,78,2018,3,24,0,0,0,105.3,1,246,0,0,4,1
2,0,0,4,0,18,2018,5,31,0,0,0,112.8,0,247,0,3,4,0
2,0,1,2,0,21,2018,8,15,0,0,0,151.0,0,248,0,0,4,0
1,0,1,3,0,0,2017,11,9,0,0,0,91.0,1,249,0,0,4,1
3,0,2,1,0,152,2018,8,13,0,0,0,146.7,1,250,0,3,4,0
2,0,2,3,0,43,2017,10,2,0,0,0,58.4,0,251,0,0,3,1
2,0,0,4,0,177,2018,7,26,0,0,0,80.75,1,252,3,0,4,0
2,0,1,1,0,47,2018,5,21,0,0,0,76.5,0,253,3,0,3,1
3,0,0,3,0,57,2018,9,7,0,0,0,140.13,0,254,0,3,4,1
2,0,2,4,0,60,2017,11,15,0,0,0,76.0,1,255,3,0,4,1
2,0,0,1,0,0,2017,9,16,0,0,0,200.0,0,256,0,0,4,1
2,0,0,2,0,102,2017,10,16,0,0,0,101.5,0,257,1,0,4,0
2,0,0,3,0,71,2018,10,18,0,0,0,108.0,1,258,3,0,4,1
3,0,2,3,0,111,2018,7,23,0,0,0,189.0,1,259,1,3,4,1
3,0,1,1,0,1,2018,6,11,0,0,0,166.0,3,260,0,3,4,1
2,0,1,1,0,4,2018,1,16,0,0,0,67.5,0,261,3,0,4,1
2,0,1,3,0,25,2017,9,14,0,0,0,78.54,1,262,0,3,4,1
1,0,2,2,0,209,2018,11,6,0,0,0,152.1,1,263,0,0,4,0
1,0,2,1,0,93,2018,10,15,0,0,0,115.0,0,264,0,0,4,0
2,0,2,5,0,53,2017,9,2,0,0,0,66.53,2,265,3,0,4,1
1,0,0,2,0,1,2017,8,12,1,0,1,0.0,1,266,0,0,1,1
1,0,2,1,0,4,2017,8,23,0,0,0,0.0,1,267,0,0,1,1
2,0,0,3,0,302,2018,12,29,0,0,0,90.3,2,268,0,0,4,0
2,0,0,2,0,122,2018,4,15,0,0,0,85.0,0,269,0,0,3,1
1,0,0,1,0,16,2018,3,11,0,0,0,75.0,0,270,0,0,2,1
2,0,2,4,0,28,2018,8,28,0,0,0,115.37,1,271,0,0,4,0
2,0,1,2,0,161,2018,3,25,0,0,0,130.0,0,272,1,0,4,0
3,0,0,2,0,57,2018,12,9,0,0,0,126.0,2,273,0,3,4,1
2,0,1,0,0,19,2018,6,12,0,0,0,94.35,1,274,0,0,4,1
3,0,2,4,0,109,2018,7,6,0,0,0,118.46,4,275,0,3,4,1
1,0,0,2,0,239,2018,6,15,0,0,0,90.6,0,276,1,0,4,0
1,0,2,1,0,33,2018,3,5,0,0,0,82.9,2,277,0,0,4,1
2,0,0,3,0,11,2017,8,18,0,0,0,95.33,1,278,0,0,4,1
3,0,2,5,0,40,2018,4,21,0,0,0,135.64,1,279,0,3,4,1
3,0,1,1,0,45,2018,6,18,0,0,0,122.4,0,280,0,3,3,1
2,0,1,3,0,41,2018,5,9,0,0,0,116.1,0,281,3,0,4,0
2,0,0,4,0,167,2018,6,28,0,0,0,62.18,0,282,3,0,4,0
2,0,0,4,0,62,2018,3,9,0,0,0,63.75,0,283,3,0,4,0
1,0,1,4,0,113,2018,9,7,0,0,0,118.8,0,284,0,0,4,0
2,0,0,2,1,1,2018,8,10,0,0,0,167.0,0,285,3,0,4,1
2,2,2,2,0,84,2018,5,13,0,0,0,187.85,1,286,0,5,4,1
0,2,2,2,0,68,2018,4,24,0,0,0,108.38,1,287,0,0,4,0
2,0,0,1,0,9,2018,9,7,1,0,3,0.0,1,288,0,1,1,1
3,0,1,2,0,245,2018,10,28,0,0,0,128.7,0,289,0,0,4,0
2,0,1,3,0,80,2018,3,17,0,0,0,80.33,1,290,0,0,4,1
2,0,1,1,0,7,2018,8,22,0,0,0,140.0,1,291,0,0,4,0
2,1,1,1,0,128,2017,8,8,0,0,0,76.5,2,292,0,0,4,1
2,0,2,1,0,100,2018,5,1,0,0,0,105.3,1,293,0,0,4,1
2,0,2,1,0,118,2018,4,3,0,0,0,87.3,1,294,0,0,4,0
1,0,0,3,0,166,2018,11,1,0,0,0,110.0,0,295,0,0,4,0
1,0,0,1,0,41,2017,9,4,0,0,0,83.0,0,296,1,0,3,1
2,0,2,2,0,174,2018,8,13,0,0,0,99.45,1,297,0,0,4,1
2,1,2,1,0,27,2017,12,27,0,0,0,104.5,3,298,1,0,3,1
2,0,2,6,0,2,2018,11,16,0,0,0,92.54,2,299,0,0,4,1
1,0,0,3,0,37,2018,10,13,0,0,0,95.0,0,300,0,0,3,1
1,0,0,2,0,188,2018,6,15,0,0,0,130.0,0,301,0,0,4,0
2,0,2,1,0,68,2018,1,2,1,1,0,63.0,1,302,0,0,3,1
2,0,1,2,0,189,2018,10,28,0,0,0,109.8,0,303,0,3,4,0
2,0,1,0,0,10,2018,5,16,0,0,0,103.0,0,304,0,0,4,1
3,0,2,1,0,19,2018,2,20,0,0,0,130.0,1,305,0,3,4,1
2,0,0,2,0,61,2018,3,23,0,0,0,117.0,0,306,0,0,4,0
2,0,0,4,0,95,2017,12,29,0,0,0,60.5,0,307,0,3,3,1
2,0,0,1,0,83,2017,9,30,0,0,0,112.2,0,308,1,0,3,1
2,0,1,3,0,37,2018,8,1,0,0,0,135.9,0,309,0,0,4,0
2,0,1,0,0,19,2018,7,25,0,0,0,151.0,1,310,0,0,4,0
2,2,0,2,0,22,2018,9,16,0,0,0,239.0,2,311,0,5,4,1
2,0,2,1,0,22,2017,12,26,0,0,0,59.09,0,312,0,0,4,1
2,0,2,5,0,151,2018,7,9,0,0,0,103.09,0,313,0,0,4,0
2,0,2,1,0,26,2018,2,28,0,0,0,87.0,0,314,0,0,3,1
3,0,1,0,0,27,2018,4,17,0,0,0,137.0,0,315,0,3,4,0
2,0,0,2,0,79,2018,6,24,0,0,0,109.0,0,316,1,0,3,1
2,0,1,1,0,247,2018,6,6,0,0,0,115.0,1,317,1,0,4,0
2,0,2,3,0,189,2018,7,17,0,0,0,99.45,1,318,0,3,4,1
2,0,0,2,0,320,2018,8,18,0,0,0,115.0,1,319,1,0,4,0
3,0,1,2,0,27,2018,2,22,0,0,0,130.0,2,320,0,3,4,1
1,0,1,0,0,51,2018,5,22,1,0,3,65.0,0,321,0,0,2,1
2,0,0,2,0,245,2018,6,17,0,0,0,75.0,0,322,0,0,4,0
2,1,1,2,0,52,2018,7,8,0,0,0,132.9,0,323,0,0,4,0
1,0,2,0,0,13,2017,10,18,0,0,0,120.0,0,324,0,0,4,1
2,0,0,2,0,46,2018,11,11,0,0,0,79.2,1,325,3,0,4,0
3,0,2,1,0,84,2018,8,28,0,0,0,159.3,0,326,0,3,4,0
1,0,0,2,0,188,2018,6,15,0,0,0,130.0,0,327,0,0,4,0
2,0,0,3,0,19,2017,10,6,1,1,0,90.0,0,328,0,0,3,1
2,0,0,2,0,67,2018,5,27,0,0,0,140.4,1,329,0,3,4,1
2,0,0,1,0,0,2017,8,11,0,0,0,75.0,0,330,0,0,4,1
2,0,0,2,0,273,2017,7,17,0,0,0,109.0,0,331,1,0,4,0
